2026-01-28 20:41:21 [/home/student/zt/Conv-TasNet/Conv_TasNet_Pytorch/trainer.py:137 - INFO ] Create optimizer adam: {'lr': 0.001, 'weight_decay': 1e-05}
2026-01-28 20:41:21 [/home/student/zt/Conv-TasNet/Conv_TasNet_Pytorch/trainer.py:106 - INFO ] Starting preparing model ............
2026-01-28 20:41:21 [/home/student/zt/Conv-TasNet/Conv_TasNet_Pytorch/trainer.py:108 - INFO ] Loading model to GPUs:(0,), #param: 3.48M
2026-01-28 20:41:21 [/home/student/zt/Conv-TasNet/Conv_TasNet_Pytorch/trainer.py:113 - INFO ] Gradient clipping by 200, default L2
2026-01-28 20:41:21 [/home/student/zt/Conv-TasNet/Conv_TasNet_Pytorch/trainer.py:191 - INFO ] Validation model ......
2026-01-28 20:41:39 [/home/student/zt/Conv-TasNet/Conv_TasNet_Pytorch/trainer.py:207 - INFO ] <epoch:  0, iter:200, lr:1.000e-03, loss:43.564, batch:200 utterances> 
2026-01-28 20:41:54 [/home/student/zt/Conv-TasNet/Conv_TasNet_Pytorch/trainer.py:207 - INFO ] <epoch:  0, iter:400, lr:1.000e-03, loss:43.781, batch:400 utterances> 
2026-01-28 20:42:10 [/home/student/zt/Conv-TasNet/Conv_TasNet_Pytorch/trainer.py:207 - INFO ] <epoch:  0, iter:600, lr:1.000e-03, loss:42.661, batch:600 utterances> 
2026-01-28 20:42:25 [/home/student/zt/Conv-TasNet/Conv_TasNet_Pytorch/trainer.py:207 - INFO ] <epoch:  0, iter:800, lr:1.000e-03, loss:43.153, batch:800 utterances> 
2026-01-28 20:42:28 [/home/student/zt/Conv-TasNet/Conv_TasNet_Pytorch/trainer.py:211 - INFO ] <epoch:  0, lr:1.000e-03, loss:43.255, Total time:1.121 min> 
2026-01-28 20:42:28 [/home/student/zt/Conv-TasNet/Conv_TasNet_Pytorch/trainer.py:223 - INFO ] Starting epoch from 0, loss = 43.2550
2026-01-28 20:42:28 [/home/student/zt/Conv-TasNet/Conv_TasNet_Pytorch/trainer.py:161 - INFO ] Training model ......
2026-01-28 20:45:15 [/home/student/zt/Conv-TasNet/Conv_TasNet_Pytorch/trainer.py:180 - INFO ] <epoch:  1, iter:200, lr:1.000e-03, loss:10.246, batch:200 utterances> 
2026-01-28 20:47:32 [/home/student/zt/Conv-TasNet/Conv_TasNet_Pytorch/trainer.py:180 - INFO ] <epoch:  1, iter:400, lr:1.000e-03, loss:9.698, batch:400 utterances> 
2026-01-28 20:49:13 [/home/student/zt/Conv-TasNet/Conv_TasNet_Pytorch/trainer.py:180 - INFO ] <epoch:  1, iter:600, lr:1.000e-03, loss:10.444, batch:600 utterances> 
2026-01-28 20:50:56 [/home/student/zt/Conv-TasNet/Conv_TasNet_Pytorch/trainer.py:180 - INFO ] <epoch:  1, iter:800, lr:1.000e-03, loss:10.549, batch:800 utterances> 
2026-01-28 20:52:25 [/home/student/zt/Conv-TasNet/Conv_TasNet_Pytorch/trainer.py:180 - INFO ] <epoch:  1, iter:1000, lr:1.000e-03, loss:9.270, batch:1000 utterances> 
2026-01-28 20:54:00 [/home/student/zt/Conv-TasNet/Conv_TasNet_Pytorch/trainer.py:180 - INFO ] <epoch:  1, iter:1200, lr:1.000e-03, loss:8.862, batch:1200 utterances> 
2026-01-28 20:55:16 [/home/student/zt/Conv-TasNet/Conv_TasNet_Pytorch/trainer.py:180 - INFO ] <epoch:  1, iter:1400, lr:1.000e-03, loss:9.738, batch:1400 utterances> 
2026-01-28 20:56:54 [/home/student/zt/Conv-TasNet/Conv_TasNet_Pytorch/trainer.py:180 - INFO ] <epoch:  1, iter:1600, lr:1.000e-03, loss:9.466, batch:1600 utterances> 
2026-01-28 20:59:26 [/home/student/zt/Conv-TasNet/Conv_TasNet_Pytorch/trainer.py:180 - INFO ] <epoch:  1, iter:1800, lr:1.000e-03, loss:9.175, batch:1800 utterances> 
2026-01-28 21:01:31 [/home/student/zt/Conv-TasNet/Conv_TasNet_Pytorch/trainer.py:180 - INFO ] <epoch:  1, iter:2000, lr:1.000e-03, loss:8.841, batch:2000 utterances> 
2026-01-28 21:03:14 [/home/student/zt/Conv-TasNet/Conv_TasNet_Pytorch/trainer.py:180 - INFO ] <epoch:  1, iter:2200, lr:1.000e-03, loss:8.772, batch:2200 utterances> 
2026-01-28 21:05:11 [/home/student/zt/Conv-TasNet/Conv_TasNet_Pytorch/trainer.py:180 - INFO ] <epoch:  1, iter:2400, lr:1.000e-03, loss:7.791, batch:2400 utterances> 
2026-01-28 21:07:19 [/home/student/zt/Conv-TasNet/Conv_TasNet_Pytorch/trainer.py:180 - INFO ] <epoch:  1, iter:2600, lr:1.000e-03, loss:7.839, batch:2600 utterances> 
2026-01-28 21:09:36 [/home/student/zt/Conv-TasNet/Conv_TasNet_Pytorch/trainer.py:180 - INFO ] <epoch:  1, iter:2800, lr:1.000e-03, loss:8.880, batch:2800 utterances> 
2026-01-28 21:11:24 [/home/student/zt/Conv-TasNet/Conv_TasNet_Pytorch/trainer.py:180 - INFO ] <epoch:  1, iter:3000, lr:1.000e-03, loss:8.355, batch:3000 utterances> 
2026-01-28 21:13:30 [/home/student/zt/Conv-TasNet/Conv_TasNet_Pytorch/trainer.py:180 - INFO ] <epoch:  1, iter:3200, lr:1.000e-03, loss:8.148, batch:3200 utterances> 
2026-01-28 21:16:12 [/home/student/zt/Conv-TasNet/Conv_TasNet_Pytorch/trainer.py:180 - INFO ] <epoch:  1, iter:3400, lr:1.000e-03, loss:7.569, batch:3400 utterances> 
2026-01-28 21:19:10 [/home/student/zt/Conv-TasNet/Conv_TasNet_Pytorch/trainer.py:180 - INFO ] <epoch:  1, iter:3600, lr:1.000e-03, loss:8.173, batch:3600 utterances> 
2026-01-28 21:22:00 [/home/student/zt/Conv-TasNet/Conv_TasNet_Pytorch/trainer.py:180 - INFO ] <epoch:  1, iter:3800, lr:1.000e-03, loss:7.526, batch:3800 utterances> 
