2026-02-12 15:31:32 [/lustre/users/shi/datasets/librimix/ConvTasNet/ConvTasNet_Separation_WavLM_CAtt/trainer_baseline.py:117 - INFO ] 从baseline预训练权重中加载
2026-02-12 15:31:33 [/lustre/users/shi/datasets/librimix/ConvTasNet/ConvTasNet_Separation_WavLM_CAtt/trainer_baseline.py:120 - INFO ] 从Wavlm预训练权重中加载
2026-02-12 15:31:37 [/lustre/users/shi/datasets/librimix/ConvTasNet/ConvTasNet_Separation_WavLM_CAtt/trainer_baseline.py:213 - INFO ] Create optimizer adam: {'lr': 0.001, 'weight_decay': 1e-05}
2026-02-12 15:31:37 [/lustre/users/shi/datasets/librimix/ConvTasNet/ConvTasNet_Separation_WavLM_CAtt/trainer_baseline.py:139 - INFO ] Starting preparing model ............
2026-02-12 15:31:37 [/lustre/users/shi/datasets/librimix/ConvTasNet/ConvTasNet_Separation_WavLM_CAtt/trainer_baseline.py:140 - INFO ] Loading model to GPUs:(0, 1), #param: 321.29M
2026-02-12 15:31:37 [/lustre/users/shi/datasets/librimix/ConvTasNet/ConvTasNet_Separation_WavLM_CAtt/trainer_baseline.py:145 - INFO ] Gradient clipping by 200, default L2
2026-02-12 15:31:38 [/lustre/users/shi/datasets/librimix/ConvTasNet/ConvTasNet_Separation_WavLM_CAtt/trainer_baseline.py:269 - INFO ] Validation model ......
2026-02-12 15:32:08 [/lustre/users/shi/datasets/librimix/ConvTasNet/ConvTasNet_Separation_WavLM_CAtt/trainer_baseline.py:284 - INFO ] <epoch:  0, iter:200, lr:1.000e-03, loss:29.451, batch:200 utterances> 
2026-02-12 15:32:34 [/lustre/users/shi/datasets/librimix/ConvTasNet/ConvTasNet_Separation_WavLM_CAtt/trainer_baseline.py:284 - INFO ] <epoch:  0, iter:400, lr:1.000e-03, loss:29.739, batch:400 utterances> 
2026-02-12 15:32:59 [/lustre/users/shi/datasets/librimix/ConvTasNet/ConvTasNet_Separation_WavLM_CAtt/trainer_baseline.py:284 - INFO ] <epoch:  0, iter:600, lr:1.000e-03, loss:27.875, batch:600 utterances> 
2026-02-12 15:33:24 [/lustre/users/shi/datasets/librimix/ConvTasNet/ConvTasNet_Separation_WavLM_CAtt/trainer_baseline.py:284 - INFO ] <epoch:  0, iter:800, lr:1.000e-03, loss:27.617, batch:800 utterances> 
2026-02-12 15:33:40 [/lustre/users/shi/datasets/librimix/ConvTasNet/ConvTasNet_Separation_WavLM_CAtt/trainer_baseline.py:288 - INFO ] <epoch:  0, lr:1.000e-03, loss:28.707, Total time:2.028 min> 
2026-02-12 15:33:40 [/lustre/users/shi/datasets/librimix/ConvTasNet/ConvTasNet_Separation_WavLM_CAtt/trainer_baseline.py:300 - INFO ] Starting epoch from 0, loss = 28.7066
2026-02-12 15:33:40 [/lustre/users/shi/datasets/librimix/ConvTasNet/ConvTasNet_Separation_WavLM_CAtt/trainer_baseline.py:237 - INFO ] Training model ......
2026-02-12 15:34:36 [/lustre/users/shi/datasets/librimix/ConvTasNet/ConvTasNet_Separation_WavLM_CAtt/trainer_baseline.py:255 - INFO ] <epoch:  1, iter:200, lr:1.000e-03, loss:6.673, batch:200 utterances> 
2026-02-12 15:35:28 [/lustre/users/shi/datasets/librimix/ConvTasNet/ConvTasNet_Separation_WavLM_CAtt/trainer_baseline.py:255 - INFO ] <epoch:  1, iter:400, lr:1.000e-03, loss:8.012, batch:400 utterances> 
2026-02-12 15:36:20 [/lustre/users/shi/datasets/librimix/ConvTasNet/ConvTasNet_Separation_WavLM_CAtt/trainer_baseline.py:255 - INFO ] <epoch:  1, iter:600, lr:1.000e-03, loss:6.166, batch:600 utterances> 
2026-02-12 15:37:13 [/lustre/users/shi/datasets/librimix/ConvTasNet/ConvTasNet_Separation_WavLM_CAtt/trainer_baseline.py:255 - INFO ] <epoch:  1, iter:800, lr:1.000e-03, loss:6.328, batch:800 utterances> 
2026-02-12 15:38:06 [/lustre/users/shi/datasets/librimix/ConvTasNet/ConvTasNet_Separation_WavLM_CAtt/trainer_baseline.py:255 - INFO ] <epoch:  1, iter:1000, lr:1.000e-03, loss:7.570, batch:1000 utterances> 
2026-02-12 15:38:58 [/lustre/users/shi/datasets/librimix/ConvTasNet/ConvTasNet_Separation_WavLM_CAtt/trainer_baseline.py:255 - INFO ] <epoch:  1, iter:1200, lr:1.000e-03, loss:7.789, batch:1200 utterances> 
2026-02-12 15:39:51 [/lustre/users/shi/datasets/librimix/ConvTasNet/ConvTasNet_Separation_WavLM_CAtt/trainer_baseline.py:255 - INFO ] <epoch:  1, iter:1400, lr:1.000e-03, loss:6.825, batch:1400 utterances> 
2026-02-12 15:40:43 [/lustre/users/shi/datasets/librimix/ConvTasNet/ConvTasNet_Separation_WavLM_CAtt/trainer_baseline.py:255 - INFO ] <epoch:  1, iter:1600, lr:1.000e-03, loss:6.969, batch:1600 utterances> 
2026-02-12 15:41:36 [/lustre/users/shi/datasets/librimix/ConvTasNet/ConvTasNet_Separation_WavLM_CAtt/trainer_baseline.py:255 - INFO ] <epoch:  1, iter:1800, lr:1.000e-03, loss:6.764, batch:1800 utterances> 
2026-02-12 15:42:28 [/lustre/users/shi/datasets/librimix/ConvTasNet/ConvTasNet_Separation_WavLM_CAtt/trainer_baseline.py:255 - INFO ] <epoch:  1, iter:2000, lr:1.000e-03, loss:6.791, batch:2000 utterances> 
2026-02-12 15:43:20 [/lustre/users/shi/datasets/librimix/ConvTasNet/ConvTasNet_Separation_WavLM_CAtt/trainer_baseline.py:255 - INFO ] <epoch:  1, iter:2200, lr:1.000e-03, loss:6.134, batch:2200 utterances> 
2026-02-12 15:44:13 [/lustre/users/shi/datasets/librimix/ConvTasNet/ConvTasNet_Separation_WavLM_CAtt/trainer_baseline.py:255 - INFO ] <epoch:  1, iter:2400, lr:1.000e-03, loss:7.669, batch:2400 utterances> 
2026-02-12 15:45:05 [/lustre/users/shi/datasets/librimix/ConvTasNet/ConvTasNet_Separation_WavLM_CAtt/trainer_baseline.py:255 - INFO ] <epoch:  1, iter:2600, lr:1.000e-03, loss:6.469, batch:2600 utterances> 
2026-02-12 15:45:58 [/lustre/users/shi/datasets/librimix/ConvTasNet/ConvTasNet_Separation_WavLM_CAtt/trainer_baseline.py:255 - INFO ] <epoch:  1, iter:2800, lr:1.000e-03, loss:6.950, batch:2800 utterances> 
2026-02-12 15:46:50 [/lustre/users/shi/datasets/librimix/ConvTasNet/ConvTasNet_Separation_WavLM_CAtt/trainer_baseline.py:255 - INFO ] <epoch:  1, iter:3000, lr:1.000e-03, loss:5.589, batch:3000 utterances> 
2026-02-12 15:47:43 [/lustre/users/shi/datasets/librimix/ConvTasNet/ConvTasNet_Separation_WavLM_CAtt/trainer_baseline.py:255 - INFO ] <epoch:  1, iter:3200, lr:1.000e-03, loss:5.556, batch:3200 utterances> 
2026-02-12 15:48:35 [/lustre/users/shi/datasets/librimix/ConvTasNet/ConvTasNet_Separation_WavLM_CAtt/trainer_baseline.py:255 - INFO ] <epoch:  1, iter:3400, lr:1.000e-03, loss:5.425, batch:3400 utterances> 
2026-02-12 15:49:28 [/lustre/users/shi/datasets/librimix/ConvTasNet/ConvTasNet_Separation_WavLM_CAtt/trainer_baseline.py:255 - INFO ] <epoch:  1, iter:3600, lr:1.000e-03, loss:6.253, batch:3600 utterances> 
2026-02-12 15:50:20 [/lustre/users/shi/datasets/librimix/ConvTasNet/ConvTasNet_Separation_WavLM_CAtt/trainer_baseline.py:255 - INFO ] <epoch:  1, iter:3800, lr:1.000e-03, loss:4.764, batch:3800 utterances> 
2026-02-12 15:51:13 [/lustre/users/shi/datasets/librimix/ConvTasNet/ConvTasNet_Separation_WavLM_CAtt/trainer_baseline.py:255 - INFO ] <epoch:  1, iter:4000, lr:1.000e-03, loss:6.130, batch:4000 utterances> 
2026-02-12 15:52:06 [/lustre/users/shi/datasets/librimix/ConvTasNet/ConvTasNet_Separation_WavLM_CAtt/trainer_baseline.py:255 - INFO ] <epoch:  1, iter:4200, lr:1.000e-03, loss:6.279, batch:4200 utterances> 
2026-02-12 15:52:58 [/lustre/users/shi/datasets/librimix/ConvTasNet/ConvTasNet_Separation_WavLM_CAtt/trainer_baseline.py:255 - INFO ] <epoch:  1, iter:4400, lr:1.000e-03, loss:7.464, batch:4400 utterances> 
2026-02-12 15:53:51 [/lustre/users/shi/datasets/librimix/ConvTasNet/ConvTasNet_Separation_WavLM_CAtt/trainer_baseline.py:255 - INFO ] <epoch:  1, iter:4600, lr:1.000e-03, loss:5.398, batch:4600 utterances> 
2026-02-12 15:54:44 [/lustre/users/shi/datasets/librimix/ConvTasNet/ConvTasNet_Separation_WavLM_CAtt/trainer_baseline.py:255 - INFO ] <epoch:  1, iter:4800, lr:1.000e-03, loss:5.885, batch:4800 utterances> 
2026-02-12 15:55:36 [/lustre/users/shi/datasets/librimix/ConvTasNet/ConvTasNet_Separation_WavLM_CAtt/trainer_baseline.py:255 - INFO ] <epoch:  1, iter:5000, lr:1.000e-03, loss:5.494, batch:5000 utterances> 
2026-02-12 15:56:29 [/lustre/users/shi/datasets/librimix/ConvTasNet/ConvTasNet_Separation_WavLM_CAtt/trainer_baseline.py:255 - INFO ] <epoch:  1, iter:5200, lr:1.000e-03, loss:5.988, batch:5200 utterances> 
2026-02-12 15:57:22 [/lustre/users/shi/datasets/librimix/ConvTasNet/ConvTasNet_Separation_WavLM_CAtt/trainer_baseline.py:255 - INFO ] <epoch:  1, iter:5400, lr:1.000e-03, loss:6.042, batch:5400 utterances> 
2026-02-12 15:58:15 [/lustre/users/shi/datasets/librimix/ConvTasNet/ConvTasNet_Separation_WavLM_CAtt/trainer_baseline.py:255 - INFO ] <epoch:  1, iter:5600, lr:1.000e-03, loss:6.977, batch:5600 utterances> 
2026-02-12 15:59:07 [/lustre/users/shi/datasets/librimix/ConvTasNet/ConvTasNet_Separation_WavLM_CAtt/trainer_baseline.py:255 - INFO ] <epoch:  1, iter:5800, lr:1.000e-03, loss:6.296, batch:5800 utterances> 
2026-02-12 16:00:00 [/lustre/users/shi/datasets/librimix/ConvTasNet/ConvTasNet_Separation_WavLM_CAtt/trainer_baseline.py:255 - INFO ] <epoch:  1, iter:6000, lr:1.000e-03, loss:5.470, batch:6000 utterances> 
2026-02-12 16:00:53 [/lustre/users/shi/datasets/librimix/ConvTasNet/ConvTasNet_Separation_WavLM_CAtt/trainer_baseline.py:255 - INFO ] <epoch:  1, iter:6200, lr:1.000e-03, loss:4.618, batch:6200 utterances> 
